ID,clean_tweet,true_label,predicted_label,probability_of_hateful
5119,come man   oreo needs chill know good nah  tcomw9qxg3vfw,0,0,0.0008148616577433732
3575,think fuckin wit wrong niggah,1,1,1.0
246,gorilla simulator need adapt environment need tear city materia,0,0,1.542361031544477e-15
3259,im going miss bitches  tcolupoqat2r9 far right resting ol girl booty yall funny shit,1,1,0.9999999999995228
5805,  udonis talking big trash lance lebron holds,0,1,0.9999993216430297
4820,cool beaners got home ready couch floating away lol,0,0,0.00015312838257243227
6297,  craving oreo mcflurry b,0,0,0.044732814892305274
2945,want vote,1,0,0.1160054035926397
2706,heres combat violent extremism 2017 white nationalist came dinner,1,0,2.749210235645358e-06
1730,libtard cant believe hate muslims suppo trump black woman im damn slave,1,1,0.999999999999996
102,thankful sense taste,0,0,0.012967062432319916
3096,elizabeth astupid hoe,1,1,0.999999986998632
3359,pussy  tcottzsxbts74,1,0,0.006807523692696654
1513,surprised news outlets opposition racemix ad hate racism embrac,1,0,0.00042467148423752524
2127,kind enable emb,1,0,0.18631052975016224
5180,facebook birdsim,0,0,5.239234161217705e-06
1484,libtard,1,1,0.9999996915133099
4087,bahaha karma bitch,1,1,0.9999998382720965
3455,bad bitch line tryna brains,1,1,1.0
2178,bout spend new years eve playing game lol,1,0,1.317765448002275e-09
6761,twitters little blue birds larry celtics isu larry bird stick ticker twtr,0,0,1.4841406806338908e-18
6508,  yankee doodle farm cotton farm,0,0,1.9804207525265693e-09
1075,grow old best robe browning,0,0,0.45566263162433285
6925,wanna ghetto club tonight,0,0,0.18764223136844554
2265,lecture,1,0,0.12328970385104998
3434,deses bitches know youre nigga,1,1,1.0
234,looking cool river island outfit,0,0,8.491982646874689e-05
4983,blaxican,0,1,0.7814410768001936
6732,music trash,0,1,0.9999999993242976
3979,hoes need rounds   play stupid hoe song,1,1,0.9999999987379151
6804,monkey  tcoh76rptl8wq,0,0,1.1757204917858904e-15
6442,  hey jig democrats dems raci,0,1,0.9764547420881454
1804,truly stand equality acceptable,1,1,0.8950231004883796
5012,gold white yellow,0,0,5.243117404015667e-06
1056,science stupid nat geo,0,1,0.8719359445606345
240,thankful imagination,0,0,2.3879776308775e-08
133,oh thursdays noodle day menu,0,0,2.0066216136254423e-05
5630,plan dying soon im totally going write kenobi sole heir hes thing locally 94 trust,0,0,2.025416168949068e-08
4442,pop wop,0,0,0.482411556207849
2032,think names true,1,1,0.9991891601769687
1193,leaving morning,0,0,3.3632875151036856e-11
5203,foto imapython bieg albino sea tu le think u mean soul ocean  tcovymitsncen,0,0,2.75900144998705e-06
3510,gang gang bitch,1,1,1.0
4499,rocked white sole feel ya bro favorite foam time  tcoltssn34ifj,0,0,6.281314069008774e-05
6022,  twitters home button birdhouse join youre egg logo bird people dont realize,0,0,9.003978990094878e-18
6242,  ya gives 43 lead 10th solo home run,0,0,1.5066666378729012e-08
5971,  buy tickets transformers 3d lock aluminum trash toss overpass rus,0,0,3.1602688051168426e-07
3594,lickin toes basic bitch cant fuck basic bitch,1,1,1.0
430,sad shouldnt happen stay strong team,0,0,1.511087569577956e-07
643,saturday truths,0,0,8.340291830277886e-08
3818,  bitches b tweeting b relavent sad,1,1,0.9999999999935276
1421,gonna watch conjuring 2 today wbarkada,0,0,9.107946150914126e-06
4769,cookies sound wonderful,0,0,3.7549921183889296e-06
5961,  babes buy brazilian peruvian bengali,0,1,0.9999999950449927
2967,white trash,1,1,0.9999999279676263
4383,5am whizzing crackers cats got   playing hockey lol  tcoa5zbvdxapx,0,0,4.738250632451031e-16
2589,libtard,1,1,0.9999996915133099
6193,  great regular season ball birds,0,0,2.7684748113348853e-11
1039,hahaha heroes fake,0,1,0.9828710799506043
4741,little girl tom sawyer gets trapped cave injun joe die injun joe dies find treasure,0,0,6.138191418636844e-18
5047,bank robber wore zebraprint dress arrested police  tcouuq0bw6vju,0,0,1.709602189802531e-09
38,thing feel like know,0,1,0.9956631460693868
2772,ignored,1,0,0.14366078552728104
2570,ignorance egregious dont dare speak 4 rest,1,1,0.7552314632987471
4728,yu forgot beat yall thats like garbage man calling janitor trash,0,1,0.9999999999431068
1967,ignored,1,0,0.14366078552728104
5991,  jamal fool called leprechaun said hea  cant blue purple gotta yellow,0,1,0.9998579717561632
866,astonished hasnt received accolades deserves win today especially,0,0,2.3000051087073462e-07
1380,bihday present 31st,0,0,9.723933910529896e-07
2113,youre racist,1,1,0.9999997512996891
5446,ive pretty eaten entire box nephews cheese nips feel bad little,0,1,0.9999999986231651
4990,yankee win makes day better,0,0,4.62776811309868e-09
3036,whats youtube channel faggot,1,1,0.9999999999950626
626,best essential oils,0,0,0.037708524283395564
3834,  like lunch little boynah bitch look im eating cause  tco7cva8grvds,1,1,0.9999988594516044
4490,prime leija trash 140 dudes today,0,1,0.9999999966709288
4910,dont think celestial dragon killed,0,0,0.000370455465511083
5219,guys walked office secretary bird looks like find  tcot9u4vgwjwv,0,0,6.7737187729054e-17
4640,yeah definitely wasnt guy fought lara cuts ring huge boon canelo,0,1,0.9996884458572413
2893,age gender race define capabilities 2016,1,1,0.99608150116487
3459,bad bitches thing like,1,1,0.9999999999378975
2847,destroyed minute,1,0,0.0015124036475934143
264,love u u time ur,0,0,0.48080481916903683
2095,new way disgraced,1,1,0.995950979115032
4393,wonder charlie brown days,0,0,4.592089883822866e-13
2663,cult,1,1,0.6708396770680045
2749,nigger white kid growing 60s,1,1,0.9999999991901358
4153,smuggler explains helped fighters jihadi highway  tcoux4anxeawd,0,0,1.2960831194350603e-06
5392,think ill eat brownie pass,0,0,0.056870519366875066
5782,  homeowner shoots armed suspect attacked pistol whipped  tcovluewugclg,0,0,1.0592383132872404e-08
51,anna open challenge try find 2 kilometer road potholes breakers hyderabad u work fundu ideas,0,0,2.223421579741829e-08
5442,im biggest redskins dam right stop,0,1,0.9999995680134434
4568,box yellow crayons,0,0,2.183082098766444e-08
3902,  free squaddd bitch solid block freee,1,1,0.9999999351389119
2319,dont forget research shows sexist men psychological problems,1,1,0.9998008804395399
1935,donkey proud murdering real palestinian semitic children thats,1,1,0.9999901486345899
5488,jamaica populated island hillbillies linguistics kind sub accent olde english derivatives,0,0,2.1637118783565755e-07
5236,golden oreos best,0,0,0.00043849880848238326
2408,times grave dangerwith dissent recast treason unchained intolerance march it,1,0,0.003259424228372368
5225,mt offers fun break slopes sweet  tcootj5uxqbna,0,0,4.606142541233039e-18
6605,oval pink blue yellow,0,0,2.1586915156849895e-07
3241,  hoe dmd sayin dreamsfuckin fo une cookie ass hoe fuck dms,1,1,1.0
2604,green book sundown towns guide reminder faced travellers,1,0,2.24156996265235e-17
1600,prostitutes brief history behaving badly,1,1,0.9648027946246079
5980,  jihadiinchief hussein urges restraint fighting islamic butchers nice isiswe hu ,0,0,0.001962910577306458
6868,know ghetto streets named ma in luther king jr   littlejohn,0,1,0.9884208535218607
2681,stop trying find isnt happening,1,0,7.089027537211906e-05
966,trump calling obama resign orlando shootings boy point 8 years talk change,0,1,0.7600464727569218
438,n fathers taking care kid n forget,0,1,0.9970924517746096
4980,didnt open das asked cus thought yu ate wat pork chops yellow rice n beans,0,1,0.9999999999860856
4997,yellow jacket landed mouth stung cutting grasssafe  tcocayucs8o01,0,0,1.1626211575269853e-12
1375,dana middle silvergate elementary ceremony old glory san diego military town today,0,0,1.75388153462149e-15
4376,2 games im good,0,1,0.9996875121848602
3796,  lmaoo bitch  tco2dhlgxcvg2,1,0,0.00038184639014426464
5562,man shiner charas spo ing yowza,0,0,0.011384528604520184
2577,extending hand   uniting merica unprecedented,1,0,4.7559452411483796e-07
4275,lakers trash,0,1,0.9999664472697798
2317,hopefully stop funding illegal state pay 38billion,1,1,0.9861573379550707
2806,krakow beautiful   stay   let build   uk east european,1,0,9.44913884907738e-09
6857,yasss brownies   ice cream  tco8qla3jsglg,0,0,4.863546692197974e-12
812,thankful,0,0,0.0006609655690975858
1145,wohooo pachhyyy congratulations,0,0,5.4557100518524635e-06
1868,aint da blm,1,0,0.22115181632426606
2125,disgusting racist thugs look forward going jail,1,1,0.9999999821373017
1176,needed sho escape thank youuu safety nets conipra91,0,0,6.2251138810146444e-12
1322,open public hours,0,0,8.916097907134826e-07
3665,pull ex bitch mad,1,1,1.0
2349,thought factory leftright polarisation 12,1,0,2.0572412916770555e-12
6839,monkey gorilla theyre hairy choose monkey  tcoh2rqf5oqwb,0,0,3.697730628058997e-15
2707,deaths caused islamic extremism occur civil wars terror attacks,1,0,8.618355962250407e-13
997,gets,0,0,0.32958471698198205
3183,seattle mayoral election year choice bunch women nonwhites faggotsfag lovers tcorwhgmrlazx,1,0,3.047140172047093e-05
3389,pussy pussy pussy,1,1,1.0
3505,fuck bitch,1,1,0.999999999999992
2894,denial,1,1,0.9178726061087837
1616,police appeal following 2 alleged assaults,1,0,0.021672348950270082
5287,homework boonies date caitlin tonightgtgt,0,0,2.003312605640496e-13
6209,  comstock lode boon 4 grew 2 20000 ppl   1 largest   wealthiest,0,0,1.3876872670659502e-11
2035,hitler called,1,1,0.9720092200482596
178,dont know dont misinform belmont park bigger flemington tight theredid watch,0,0,2.0719340555812529e-13
4373,10   15   average 2 8 need scale 110 ghetto u,0,0,0.0466078776058478
3514,girl like 19 pics instagram morning working saw thought bitch need life,1,1,0.9999999999677769
6996,versace bird feeder,0,0,2.2617137531538304e-09
6001,  paper ball trash  tcom90w9n1zbt,0,0,4.547464613567246e-11
1010,finally got fish tank,0,0,4.6361239017324046e-06
2674,ally carl slammed wish list nbc news,1,0,3.431426619708638e-08
536,singing makes,0,0,0.4375838532590166
3617,let hoes great  yall bitches reaching sidetitty look,1,1,1.0
80,safe ways heal,0,0,8.48697889371107e-12
1372,cont fathers day disaster hermes useless courier pa 2,0,0,0.03205156658130387
5745,  halloween candy corn bird  tcoktnbyutykw,0,0,1.1851104844448734e-18
3412,oh bitch ass wants reply 3 days bitch bye,1,1,0.9999999999990694
5073,cheese crackers,0,0,0.05606153172207479
6512,  fairy tale deny existence sorrow failure,0,0,3.8055271313733147e-16
231,lovely day sitting outside college enjoying sun im,0,0,1.328420795521349e-22
4819,cool beaners,0,1,0.9594601284219672
753,missing favorite electricity,0,0,0.0004436986470789538
1278,place sos afternoon im totally blessed company gorgeous,0,0,7.993768170055242e-05
1903,libtard,1,1,0.9999996915133099
5725,  grateful profound hospitality volunteers open homes patients traveling long distances abo,0,0,6.161059390170178e-14
3530,hello bitches want lies self,1,1,0.9999999999927802
3753,  5 years hoes aint gone shit dick head,1,1,0.9999999999999998
6252,    looking forward sitting president obama 60th anniversary broadcast sunday ho,0,0,3.858918398927308e-12
6093,  condom invent sole purpose,0,1,0.6656043374212963
6793,weed brownies gtgtgtgt,0,0,1.7527769396322403e-06
1262,appletstag,0,0,0.0008343934989742052
6800,trash franchise   fergie sing national anthem clippers season opener tomorrow,0,0,1.576170774091287e-06
3843,  bitch think im worried bitch ove hinking,1,1,0.9999999999999998
5353,learnt birds child best time learn,0,0,2.00797427553824e-08
2070,ask want follow im,1,1,0.9919969493227266
5360,love butter atcq id love qtips hook looped half minutes instead phifes trash verses,0,1,0.9999009579373895
2261,run risk looking unintentionally moredun edinburgh,1,0,5.467197196061724e-10
6220,  fear mongering left dying wake going 2 believe charlie rangel hussein mia love c,0,0,1.9516745733236832e-07
382,wonderful dads especially happy fathers day,0,0,3.699838122497519e-08
4412,got pompom pete,0,0,2.786860123432071e-07
5976,  nov 222012 thanksgiving dinner 200pm proof main day preoccupied giant bird  ,0,0,7.803745607130702e-18
2647,looks like damned fool 50 years usa openly opposed settlement buliding,1,1,0.9999999925793912
2579,comments reflections ignorance,1,1,0.9987760960826776
2856,trump c aign official wants michelle obama let loose live african apes,1,0,0.0007357516419966485
1759,  feel like stomping listen,1,1,0.9998330772946369
5783,  free bird,0,0,1.2107303227809013e-07
2943,libtard,1,1,0.9999996915133099
497,course hows trip hear close brno,0,1,0.9188937780762829
218,happy weekend people mc justorichrapkiddo cares,0,0,6.890782061124294e-08
1790,nick cannon speaks systemic,1,1,0.9831246561079217
1058,interests person pleased katharine hepburn,0,0,1.2924599666384042e-07
5325,got eyes red bone,0,0,0.24539357744176132
2830,calls means jealous wh,1,1,0.9999939712478314
5021,think unsold items thrift stores garbage think great games trash dumps speak,0,0,0.00041210286582312556
6077,  charlie crist wins democratic primary  tcofunqxo8o4o,0,0,2.2863304991479784e-19
938,big day tomorrow,0,0,1.8229808212029045e-07
1761,liberal institutionalized white supremacy,1,1,0.9734771062454879
4424,chicken fried steak boys mash potatoes gravy green beans corn ice cream brownies,0,0,4.545137548098537e-07
