ID,clean_tweet,true_label,predicted_label,probability_of_hateful
5119,come man   oreo needs chill know good nah  tcomw9qxg3vfw,0,0,0.3279766607466533
3575,think fuckin wit wrong niggah,1,0,0.0385915900821359
246,gorilla simulator need adapt environment need tear city materia,0,1,0.621096624601217
3259,im going miss bitches  tcolupoqat2r9 far right resting ol girl booty yall funny shit,1,0,0.0459199577343247
5805,  udonis talking big trash lance lebron holds,0,0,0.45863018628835434
4820,cool beaners got home ready couch floating away lol,0,1,0.82986166072593
6297,  craving oreo mcflurry b,0,0,0.4998631364622774
2945,want vote,1,0,0.09535690142165774
2706,heres combat violent extremism 2017 white nationalist came dinner,1,1,0.7836345607918107
1730,libtard cant believe hate muslims suppo trump black woman im damn slave,1,1,0.9339432477478241
102,thankful sense taste,0,0,0.4998631364622774
3096,elizabeth astupid hoe,1,0,0.29651914194719076
3359,pussy  tcottzsxbts74,1,1,0.6524989875195703
1513,surprised news outlets opposition racemix ad hate racism embrac,1,0,0.007839403915174747
2127,kind enable emb,1,0,0.4998631364622774
5180,facebook birdsim,0,0,0.4998631364622774
1484,libtard,1,0,0.4998631364622774
4087,bahaha karma bitch,1,1,0.6043142444140601
3455,bad bitch line tryna brains,1,0,0.023695452422491704
2178,bout spend new years eve playing game lol,1,0,0.005045372175314055
6761,twitters little blue birds larry celtics isu larry bird stick ticker twtr,0,1,0.7920966837675534
6508,  yankee doodle farm cotton farm,0,0,0.4998631364622774
1075,grow old best robe browning,0,1,0.8201502027653457
6925,wanna ghetto club tonight,0,0,0.004834765933989753
2265,lecture,1,0,0.4998631364622774
3434,deses bitches know youre nigga,1,1,0.9673305817193081
234,looking cool river island outfit,0,0,0.41474858556346733
4983,blaxican,0,0,0.4998631364622774
6732,music trash,0,0,0.009571504320695083
3979,hoes need rounds   play stupid hoe song,1,1,0.8064025382450104
6804,monkey  tcoh76rptl8wq,0,0,0.46896276280798016
6442,  hey jig democrats dems raci,0,0,0.4647698883847688
1804,truly stand equality acceptable,1,0,0.10529607093255611
5012,gold white yellow,0,0,0.24026698774655722
1056,science stupid nat geo,0,1,0.9739715666570513
240,thankful imagination,0,0,0.4998631364622774
133,oh thursdays noodle day menu,0,1,0.5137012558260994
5630,plan dying soon im totally going write kenobi sole heir hes thing locally 94 trust,0,1,0.6999525758805634
4442,pop wop,0,0,0.4998631364622774
2032,think names true,1,0,0.31506416169847
1193,leaving morning,0,0,0.4998631364622774
5203,foto imapython bieg albino sea tu le think u mean soul ocean  tcovymitsncen,0,1,0.6360954790878378
3510,gang gang bitch,1,1,0.5243658249224107
4499,rocked white sole feel ya bro favorite foam time  tcoltssn34ifj,0,0,0.30998810283747763
6022,  twitters home button birdhouse join youre egg logo bird people dont realize,0,0,0.017385587427475143
6242,  ya gives 43 lead 10th solo home run,0,0,0.030861016405206245
5971,  buy tickets transformers 3d lock aluminum trash toss overpass rus,0,0,0.468550535731346
3594,lickin toes basic bitch cant fuck basic bitch,1,0,0.36541779865626745
430,sad shouldnt happen stay strong team,0,1,0.5545589663227759
643,saturday truths,0,0,0.4998631364622774
3818,  bitches b tweeting b relavent sad,1,0,0.43343075527314945
1421,gonna watch conjuring 2 today wbarkada,0,0,0.4492838466691047
4769,cookies sound wonderful,0,0,0.4998631364622774
5961,  babes buy brazilian peruvian bengali,0,0,0.4998631364622774
2967,white trash,1,0,0.2645585506165641
4383,5am whizzing crackers cats got   playing hockey lol  tcoa5zbvdxapx,0,0,0.26505454786288163
2589,libtard,1,0,0.4998631364622774
6193,  great regular season ball birds,0,0,0.42911309094895084
1039,hahaha heroes fake,0,0,0.37707420727262153
4741,little girl tom sawyer gets trapped cave injun joe die injun joe dies find treasure,0,1,0.9132281089000035
5047,bank robber wore zebraprint dress arrested police  tcouuq0bw6vju,0,0,0.4081756528099365
38,thing feel like know,0,0,0.14576922756384467
2772,ignored,1,0,0.4998631364622774
2570,ignorance egregious dont dare speak 4 rest,1,0,0.37048364585124194
4728,yu forgot beat yall thats like garbage man calling janitor trash,0,0,0.07764413674780976
1967,ignored,1,0,0.4998631364622774
5991,  jamal fool called leprechaun said hea  cant blue purple gotta yellow,0,0,0.10638958594016588
866,astonished hasnt received accolades deserves win today especially,0,0,0.026734277889554545
1380,bihday present 31st,0,0,0.4998631364622774
2113,youre racist,1,0,0.3830311048554478
5446,ive pretty eaten entire box nephews cheese nips feel bad little,0,1,0.7477699123889924
4990,yankee win makes day better,0,1,0.9186377236797854
3036,whats youtube channel faggot,1,1,0.5387703647986917
626,best essential oils,0,0,0.4998631364622774
3834,  like lunch little boynah bitch look im eating cause  tco7cva8grvds,1,1,0.8967125627335444
4490,prime leija trash 140 dudes today,0,0,0.4110013389054683
4910,dont think celestial dragon killed,0,1,0.9858077795310504
5219,guys walked office secretary bird looks like find  tcot9u4vgwjwv,0,0,0.0796862673093629
4640,yeah definitely wasnt guy fought lara cuts ring huge boon canelo,0,0,0.07828824218564956
2893,age gender race define capabilities 2016,1,0,0.07758557118060981
3459,bad bitches thing like,1,0,0.06114421649821866
2847,destroyed minute,1,0,0.4998631364622774
264,love u u time ur,0,1,0.5740009212360313
2095,new way disgraced,1,0,0.49401506699774894
4393,wonder charlie brown days,0,0,0.4998631364622774
2663,cult,1,0,0.4998631364622774
2749,nigger white kid growing 60s,1,1,0.5615180719889133
4153,smuggler explains helped fighters jihadi highway  tcoux4anxeawd,0,0,0.4998631364622774
5392,think ill eat brownie pass,0,1,0.5266252680989759
