ID,tweet,clean_tweet,target,prob,y_hat
5119,Come on man RT @BasedLaRock: Oreo needs to chill &#128686;RT @TheDonDrew: You know about these @PremiumPete? good or nah? http://t.co/Mw9QXG3vFW,come man   oreo needs chill know good nah  tcomw9qxg3vfw,0.0,0.32217488,0
3575,I think you fuckin wit the wrong niggah,think fuckin wit wrong niggah,1.0,0.73649716,1
246,#russian   gorilla simulator: you need to do to adapt to the environment. the need to tear the city. materia ,gorilla simulator need adapt environment need tear city materia,0.0,0.14653017,0
3259,&#8220;@M_Rad: I'm going to miss these bitches so much &#128557; http://t.co/lUpoqaT2R9&#8221; far right she resting on ol girl booty y'all funny as shit,im going miss bitches  tcolupoqat2r9 far right resting ol girl booty yall funny shit,1.0,0.41818374,0
5805,RT @ChrisPalmerNBA: Udonis talking some big trash to Lance. LeBron holds him back.,  udonis talking big trash lance lebron holds,0.0,0.37971997,0
4820,@ebomb26 cool beaners. i just got home. ready to keep my couch from floating away. lol,cool beaners got home ready couch floating away lol,0.0,0.13065828,0
6297,RT @bunnyasmin1125: I Still Be Craving An Oreo McFlurry b;,  craving oreo mcflurry b,0.0,0.332219,0
2945,@user @user @user because we have been #shuckinandjivin for the  #democraticpay that only want our vote!,want vote,1.0,0.7254889,1
2706,"here's how to combat violent extremism in 2017. ""the white nationalist who came to dinner""  ",heres combat violent extremism 2017 white nationalist came dinner,1.0,0.25848454,0
1730,"libtard- ""i can't believe she hate muslims and suppo trump. how can a black woman do that?"" me  ""because i'm not your damn slave!"" ",libtard cant believe hate muslims suppo trump black woman im damn slave,1.0,0.6988378,1
102,i am thankful for having sense of taste. #thankful #positive     ,thankful sense taste,0.0,0.462202,1
3096,Elizabeth is a.stupid hoe.,elizabeth astupid hoe,1.0,0.30224517,0
3359,@Real_Liam_Payne be a pussy http://t.co/ttzsxBtS74,pussy  tcottzsxbts74,1.0,0.3956972,0
1513,"@user not surprised how ""news"" outlets call opposition to @user race-mix ad . they hate racism, though. i embracâ¦",surprised news outlets opposition racemix ad hate racism embrac,1.0,0.5188485,1
2127,"#history will not be kind to those who enable the #corruption,  and #misogny of @user and his embâ¦ ",kind enable emb,1.0,0.5018401,1
5180,Facebook is for the birds...I'm over it,facebook birdsim,0.0,0.23228665,0
1484,you might be a libtard if... #libtard  #sjw #liberal #politics ,libtard,1.0,0.46258232,1
4087,bahaha karma is a bitch,bahaha karma bitch,1.0,0.73365957,1
3455,Bad bitch on my line tryna give me brains,bad bitch line tryna brains,1.0,0.535924,1
2178,bout to spend new year's eve playing  the game lol ,bout spend new years eve playing game lol,1.0,0.14813201,0
6761,"Twitters little blue birds name is Larry, after Celtics, ISU Larry Bird, stick ticker is $TWTR.",twitters little blue birds larry celtics isu larry bird stick ticker twtr,0.0,0.12737548,0
6508,RT @thereal_EMandM: Yankee Doodle had a farm. Cotton farm,  yankee doodle farm cotton farm,0.0,0.06701094,0
1075,grow old along with me; the best is yet to be. ârobe browning #wedding   #love ,grow old best robe browning,0.0,0.3466896,0
6925,i wanna go to the ghetto club tonight.,wanna ghetto club tonight,0.0,0.2984989,0
2265,please #america # #timwise lecture - #colorblind  via @user #trendolizer  #historicalamnesia,lecture,1.0,0.37183762,0
3434,All deses bitches know that you're my nigga.,deses bitches know youre nigga,1.0,0.7390863,1
234,looking cool in river island outfit @user @user #riverisland #cute #smile   ,looking cool river island outfit,0.0,0.27174607,0
4983,@xtruthseekerx_ blaxican,blaxican,0.0,0.46072006,1
6732,This music is trash,music trash,0.0,0.59036565,1
3979,Side hoes need rounds too... RT @Peachpapayya: They always play stupid hoe song back to back,hoes need rounds   play stupid hoe song,1.0,0.26559582,0
6804,What the monkey... http://t.co/h76rptL8Wq,monkey  tcoh76rptl8wq,0.0,0.28713378,0
6442,"RT @navy8r: ""@Sierra0559: Hey @BarackObama , the jig is up. Even democrats are through with you. #ReasonToExitAnObamaSpeech"" dems are raci&#8230;",  hey jig democrats dems raci,0.0,0.5015875,1
1804,#caturday. if you truly stand for equality then none of these can be acceptable.  â¦ ,truly stand equality acceptable,1.0,0.5979837,1
5012,All my gold is white not yellow.,gold white yellow,0.0,0.39750665,0
1056,ððscience of stupid on nat geo ðð ,science stupid nat geo,0.0,0.50510323,1
240,i am thankful for having imagination. #thankful #positive     ,thankful imagination,0.0,0.35980454,0
133,"oh no @user thursdays is noodle day, what have you done with your menu?  ",oh thursdays noodle day menu,0.0,0.09144638,0
5630,"Not that I plan on dying soon, but I'm totally going to write Kenobi in as my sole heir. He's the only thing locally (under 94) I can trust",plan dying soon im totally going write kenobi sole heir hes thing locally 94 trust,0.0,0.27693054,0
4442,"@CallNeeshCakey no , a pop wop &#128514;",pop wop,0.0,0.2742169,0
2032,@user did you ever think we call him names because it's true? #conman #traitor #draftdodger  #cowardâ¦ ,think names true,1.0,0.47587773,1
1193,leaving #lakedistrict this morningð  ,leaving morning,0.0,0.32898852,0
5203,Foto: imapython: bieg: albino sea turtle i think u mean soul of the ocean http://t.co/vYmiTsNCEn,foto imapython bieg albino sea tu le think u mean soul ocean  tcovymitsncen,0.0,0.24952617,0
3510,Gang gang bitch&#128165;&#128299;,gang gang bitch,1.0,0.7443006,1
4499,@Gutta_DaDon I never really rocked with the white sole. I feel ya bro. But these!!? My favorite Foam of all time. http://t.co/lTSsn34IFJ,rocked white sole feel ya bro favorite foam time  tcoltssn34ifj,0.0,0.2215439,0
6022,RT @MostSecretFacts: Twitter's home button is a birdhouse. When you join you're an egg. The logo is a bird. Most people don't realize this.,  twitters home button birdhouse join youre egg logo bird people dont realize,0.0,0.2073602,0
6242,RT @Yankees: SEE YA! @JacobyEllsbury gives the #Yankees a 4-3 lead in the 10th with a solo home run!,  ya gives 43 lead 10th solo home run,0.0,0.19381021,0
5971,RT @Kyle_Lippert: If you buy tickets for Transformers 3D they just lock you in an aluminum trash can and toss you from an overpass into rus&#8230;,  buy tickets transformers 3d lock aluminum trash toss overpass rus,0.0,0.1501972,0
3594,If you not lickin toes you a basic bitch.. And I can't fuck with a basic bitch,lickin toes basic bitch cant fuck basic bitch,1.0,0.8079313,1
430, @user that is too sad about #udtapunjableaked it shouldn't happen..   stay strong team. @user @user #kareena,sad shouldnt happen stay strong team,0.0,0.3185803,0
643,saturday truths ðð #mood #coffee #happy   ,saturday truths,0.0,0.24980381,0
3818,RT @TeeeeRenee: bitches b tweeting everything they see to b Relavent &#128514;&#128514;&#128514; its really sad &#128563;,  bitches b tweeting b relavent sad,1.0,0.48185486,1
1421,we're gonna watch conjuring 2 today w/barkada! ððð  ,gonna watch conjuring 2 today wbarkada,0.0,0.27092257,0
4769,@bitty_boop @Oreo cookies sound wonderful.,cookies sound wonderful,0.0,0.2483612,0
5961,RT @Kiaranicole_x: @_JoAries @Kash_WingateLFC @chanchan_ox babes we buy brazilian and Peruvian not Bengali,  babes buy brazilian peruvian bengali,0.0,0.16688822,0
2967,#SouthCarolina is full of white trash,white trash,1.0,0.31959584,0
4383,"5am: Whizzing crackers! My cats got into the @Ritzcrackers &amp; are now playing 'hockey' with them. Lol.
#crazycats http://t.co/A5ZBVDXapx",5am whizzing crackers cats got   playing hockey lol  tcoa5zbvdxapx,0.0,0.086079784,0
2589,@user you might be a libtard if... #libtard  #sjw #liberal #politics ,libtard,1.0,0.46258232,1
6193,RT @TweetTully: This is so great. Regular season ball is for the birds,  great regular season ball birds,0.0,0.06717048,0
1039,hahaha all of our heroes are fake. #doping   #nothingisreal,hahaha heroes fake,0.0,0.39213377,0
4741,@ZP3_ the little girl Tom Sawyer gets trapped in the cave along with Injun Joe and almost die. injun Joe dies and they find his treasure,little girl tom sawyer gets trapped cave injun joe die injun joe dies find treasure,0.0,0.055204134,0
5047,"Bank robber who wore zebra-print dress arrested, police say http://t.co/UUQ0bw6vju",bank robber wore zebraprint dress arrested police  tcouuq0bw6vju,0.0,0.22997315,0
38, @user the thing about @user and @user is that you feel like you know them! #centralintelligence    ,thing feel like know,0.0,0.5933803,1
2772,@user #feminismiscancer #feminismisterrorism #feminismmuktbharat why  #malevote is ignored  @user,ignored,1.0,0.45285624,1
2570,"@user @user your  ignorance, #whiteprivilege and #whitefragility is egregious. don't dare speak 4 'rest of #canada'.",ignorance egregious dont dare speak 4 rest,1.0,0.47988692,1
4728,@Wimp_W_Diesel yu forgot we beat yall? Thats like a garbage man calling a janitor trash,yu forgot beat yall thats like garbage man calling janitor trash,0.0,0.63776594,1
1967,@user #feminismiscancer #feminismisterrorism #feminismmuktbharat why  #malevote is ignored  @user,ignored,1.0,0.45285624,1
5991,"RT @Lysettemariee: Jamal is a fool &#128514;&#128514;&#128514; first he called me a leprechaun, then he said my heart cant be blue or purple. It gotta be yellow or&#8230;",  jamal fool called leprechaun said hea  cant blue purple gotta yellow,0.0,0.26522052,0
