ID,clean_tweet,true_label,predicted_label,probability_of_hateful
5119,come man   oreo needs chill know good nah  tcomw9qxg3vfw,0,0,9.214875366349952e-13
3575,think fuckin wit wrong niggah,1,1,0.9455226267632284
246,gorilla simulator need adapt environment need tear city materia,0,0,0.0004866771261470675
3259,im going miss bitches  tcolupoqat2r9 far right resting ol girl booty yall funny shit,1,0,5.007805838237908e-05
5805,  udonis talking big trash lance lebron holds,0,1,0.9994292155878978
4820,cool beaners got home ready couch floating away lol,0,0,1.566088522448494e-07
6297,  craving oreo mcflurry b,0,0,1.1595752604296809e-07
2945,want vote,1,1,0.7396639098904407
2706,heres combat violent extremism 2017 white nationalist came dinner,1,1,1.0
1730,libtard cant believe hate muslims suppo trump black woman im damn slave,1,1,0.9999999999999991
102,thankful sense taste,0,1,0.9999972120405957
3096,elizabeth astupid hoe,1,1,0.9999999999960316
3359,pussy  tcottzsxbts74,1,0,3.5855334116890356e-10
1513,surprised news outlets opposition racemix ad hate racism embrac,1,1,1.0
2127,kind enable emb,1,1,0.9999031251729207
5180,facebook birdsim,0,0,0.002120690293243832
1484,libtard,1,1,0.9999976199681795
4087,bahaha karma bitch,1,0,4.50559559317538e-06
3455,bad bitch line tryna brains,1,0,0.0011464744288794452
2178,bout spend new years eve playing game lol,1,0,5.312609975103381e-07
6761,twitters little blue birds larry celtics isu larry bird stick ticker twtr,0,0,3.598488834965413e-06
6508,  yankee doodle farm cotton farm,0,0,0.026639012368361286
1075,grow old best robe browning,0,1,0.8382341633037592
6925,wanna ghetto club tonight,0,0,7.069219089479193e-08
2265,lecture,1,1,0.9999337983215851
3434,deses bitches know youre nigga,1,1,0.902360099255831
234,looking cool river island outfit,0,0,0.00018465905896901982
4983,blaxican,0,1,0.999993351920523
6732,music trash,0,0,0.011584532412998942
3979,hoes need rounds   play stupid hoe song,1,0,0.0007851944970898996
6804,monkey  tcoh76rptl8wq,0,0,1.644329219400605e-11
6442,  hey jig democrats dems raci,0,1,0.9999997193659594
1804,truly stand equality acceptable,1,1,0.9999999999999996
5012,gold white yellow,0,0,0.00016043368621822485
1056,science stupid nat geo,0,1,0.9943190196647965
240,thankful imagination,0,1,0.9995653792403767
133,oh thursdays noodle day menu,0,0,0.04728304412007626
5630,plan dying soon im totally going write kenobi sole heir hes thing locally 94 trust,0,0,4.70424722327406e-11
4442,pop wop,0,0,0.005054830735010652
2032,think names true,1,1,0.9995352778019301
1193,leaving morning,0,1,0.9648139842130736
5203,foto imapython bieg albino sea tu le think u mean soul ocean  tcovymitsncen,0,0,3.806132115315579e-09
3510,gang gang bitch,1,1,0.916853322927671
4499,rocked white sole feel ya bro favorite foam time  tcoltssn34ifj,0,0,1.40507309234788e-09
6022,  twitters home button birdhouse join youre egg logo bird people dont realize,0,0,1.6263661024267045e-05
6242,  ya gives 43 lead 10th solo home run,0,0,0.00042591741080817073
5971,  buy tickets transformers 3d lock aluminum trash toss overpass rus,0,0,1.489524315045922e-16
3594,lickin toes basic bitch cant fuck basic bitch,1,0,0.3251321343312276
430,sad shouldnt happen stay strong team,0,1,0.7573372227635976
643,saturday truths,0,1,0.9999999659171992
3818,  bitches b tweeting b relavent sad,1,0,0.24618417653168834
1421,gonna watch conjuring 2 today wbarkada,0,0,0.03019846377567985
4769,cookies sound wonderful,0,0,0.014398964432508005
5961,  babes buy brazilian peruvian bengali,0,0,7.449006350284948e-06
2967,white trash,1,1,0.9999993257401046
4383,5am whizzing crackers cats got   playing hockey lol  tcoa5zbvdxapx,0,0,5.7473823026425684e-18
2589,libtard,1,1,0.9999976199681795
6193,  great regular season ball birds,0,0,2.9224631418460786e-11
1039,hahaha heroes fake,0,0,2.0069098827174173e-06
4741,little girl tom sawyer gets trapped cave injun joe die injun joe dies find treasure,0,0,0.04035039321935955
5047,bank robber wore zebraprint dress arrested police  tcouuq0bw6vju,0,0,1.4857294827545358e-16
38,thing feel like know,0,0,0.4646805293411576
2772,ignored,1,1,0.9999977629135798
2570,ignorance egregious dont dare speak 4 rest,1,1,0.9999984672721443
4728,yu forgot beat yall thats like garbage man calling janitor trash,0,0,0.08581671121021002
1967,ignored,1,1,0.9999977629135798
5991,  jamal fool called leprechaun said hea  cant blue purple gotta yellow,0,0,1.821667526803101e-11
866,astonished hasnt received accolades deserves win today especially,0,0,0.0013500072453648724
1380,bihday present 31st,0,0,9.312502595931826e-05
2113,youre racist,1,1,1.0
5446,ive pretty eaten entire box nephews cheese nips feel bad little,0,0,8.52011153216616e-12
4990,yankee win makes day better,0,0,8.074005789999725e-06
3036,whats youtube channel faggot,1,1,0.9367792106675651
626,best essential oils,0,0,0.05778950909440509
3834,  like lunch little boynah bitch look im eating cause  tco7cva8grvds,1,0,1.1425536046574097e-15
4490,prime leija trash 140 dudes today,0,0,3.832693032016738e-11
4910,dont think celestial dragon killed,0,0,0.003268345746524114
5219,guys walked office secretary bird looks like find  tcot9u4vgwjwv,0,0,4.87035137832762e-12
4640,yeah definitely wasnt guy fought lara cuts ring huge boon canelo,0,0,1.7545213202848152e-16
2893,age gender race define capabilities 2016,1,1,0.9999999999999774
3459,bad bitches thing like,1,1,0.989012575066175
2847,destroyed minute,1,0,5.360315071971311e-09
264,love u u time ur,0,0,7.565737628413879e-08
2095,new way disgraced,1,1,0.9999999986071433
4393,wonder charlie brown days,0,1,0.9939138690003065
2663,cult,1,1,0.9761984409716035
2749,nigger white kid growing 60s,1,1,0.9999999999955511
4153,smuggler explains helped fighters jihadi highway  tcoux4anxeawd,0,0,5.752024618069863e-05
5392,think ill eat brownie pass,0,0,0.0001345069868020166
5782,  homeowner shoots armed suspect attacked pistol whipped  tcovluewugclg,0,0,1.5447868257368345e-12
51,anna open challenge try find 2 kilometer road potholes breakers hyderabad u work fundu ideas,0,0,3.9380860500531964e-12
5442,im biggest redskins dam right stop,0,1,0.8232870700455844
4568,box yellow crayons,0,1,0.6571549626859955
3902,  free squaddd bitch solid block freee,1,0,1.3739388715610323e-16
2319,dont forget research shows sexist men psychological problems,1,1,1.0
1935,donkey proud murdering real palestinian semitic children thats,1,1,1.0
5488,jamaica populated island hillbillies linguistics kind sub accent olde english derivatives,0,1,0.9999999999999996
5236,golden oreos best,0,0,0.00451882671410214
2408,times grave dangerwith dissent recast treason unchained intolerance march it,1,1,0.9999999999983622
5225,mt offers fun break slopes sweet  tcootj5uxqbna,0,0,1.6205200736780984e-17
6605,oval pink blue yellow,0,0,2.259478457261377e-08
3241,  hoe dmd sayin dreamsfuckin fo une cookie ass hoe fuck dms,1,0,2.8469704166328152e-08
2604,green book sundown towns guide reminder faced travellers,1,1,0.5403458148334231
1600,prostitutes brief history behaving badly,1,1,1.0
5980,  jihadiinchief hussein urges restraint fighting islamic butchers nice isiswe hu ,0,1,0.9997888492506103
6868,know ghetto streets named ma in luther king jr   littlejohn,0,0,0.0003371145330109028
2681,stop trying find isnt happening,1,1,0.9841734037782184
966,trump calling obama resign orlando shootings boy point 8 years talk change,0,1,0.997591392693376
438,n fathers taking care kid n forget,0,1,0.9996751593069647
4980,didnt open das asked cus thought yu ate wat pork chops yellow rice n beans,0,0,4.8805750317072124e-06
4997,yellow jacket landed mouth stung cutting grasssafe  tcocayucs8o01,0,0,5.3961927648746004e-14
1375,dana middle silvergate elementary ceremony old glory san diego military town today,0,1,0.695313905530466
4376,2 games im good,0,0,6.91831552339489e-07
3796,  lmaoo bitch  tco2dhlgxcvg2,1,0,4.4981143144132204e-07
5562,man shiner charas spo ing yowza,0,0,1.5062032043295774e-06
2577,extending hand   uniting merica unprecedented,1,1,0.9352052741135337
4275,lakers trash,0,1,0.9929297616337451
2317,hopefully stop funding illegal state pay 38billion,1,0,2.386170542560738e-08
2806,krakow beautiful   stay   let build   uk east european,1,0,4.517071636029505e-08
6857,yasss brownies   ice cream  tco8qla3jsglg,0,0,3.7236950510901337e-13
812,thankful,0,1,0.9799409770813985
1145,wohooo pachhyyy congratulations,0,0,3.178704251659282e-09
1868,aint da blm,1,0,0.053632954919610676
2125,disgusting racist thugs look forward going jail,1,1,1.0
1176,needed sho escape thank youuu safety nets conipra91,0,0,3.5281591834948175e-11
1322,open public hours,0,1,0.9994077435987715
3665,pull ex bitch mad,1,0,0.012012344812932847
2349,thought factory leftright polarisation 12,1,1,0.9999999921939159
6839,monkey gorilla theyre hairy choose monkey  tcoh2rqf5oqwb,0,0,5.583617071139997e-05
2707,deaths caused islamic extremism occur civil wars terror attacks,1,1,0.9999999999999962
997,gets,0,1,0.9334621069504494
3183,seattle mayoral election year choice bunch women nonwhites faggotsfag lovers tcorwhgmrlazx,1,1,0.9999525423975891
3389,pussy pussy pussy,1,0,1.0012435974615875e-05
3505,fuck bitch,1,1,0.6539783233571344
2894,denial,1,1,0.9999995548336241
1616,police appeal following 2 alleged assaults,1,1,0.9999635094352322
5287,homework boonies date caitlin tonightgtgt,0,0,0.001359446315550527
6209,  comstock lode boon 4 grew 2 20000 ppl   1 largest   wealthiest,0,0,1.0579745520790977e-23
